<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ГАЗПРОМ ао;1;01.09.2021;10:30:00;308,12;308,25;308,04;308,06;6605;0
ГАЗПРОМ ао;1;01.09.2021;10:31:00;308,06;308,21;307,97;308,1;9026;0
ГАЗПРОМ ао;1;01.09.2021;10:32:00;308,14;308,16;308;308,16;2991;0
ГАЗПРОМ ао;1;01.09.2021;10:33:00;308,17;308,2;308,08;308,08;4434;0
ГАЗПРОМ ао;1;01.09.2021;10:34:00;308,08;308,19;307,86;307,86;8453;0
ГАЗПРОМ ао;1;01.09.2021;10:35:00;307,86;307,94;307,5;307,72;8787;0
ГАЗПРОМ ао;1;01.09.2021;10:36:00;307,72;308,19;307,63;308,18;28102;0
ГАЗПРОМ ао;1;01.09.2021;10:37:00;308,18;308,2;308,1;308,2;3452;0
ГАЗПРОМ ао;1;01.09.2021;10:38:00;308,19;308,28;308,11;308,22;19476;0
ГАЗПРОМ ао;1;01.09.2021;10:39:00;308,2;308,35;308,11;308,32;8887;0
ГАЗПРОМ ао;1;01.09.2021;10:40:00;308,3;308,35;308,2;308,35;7919;0
ГАЗПРОМ ао;1;01.09.2021;10:41:00;308,33;308,33;308,13;308,28;7816;0
ГАЗПРОМ ао;1;01.09.2021;10:42:00;308,23;308,3;307,9;308;8618;0
ГАЗПРОМ ао;1;01.09.2021;10:43:00;308;308;307,9;307,97;1827;0
ГАЗПРОМ ао;1;01.09.2021;10:44:00;307,94;308,03;307,9;308,03;9014;0
ГАЗПРОМ ао;1;01.09.2021;10:45:00;308,03;308,05;307,92;307,92;2328;0
ГАЗПРОМ ао;1;01.09.2021;10:46:00;307,92;307,96;307,69;307,69;10227;0
ГАЗПРОМ ао;1;01.09.2021;10:47:00;307,71;308,05;307,6;307,93;16811;0
ГАЗПРОМ ао;1;01.09.2021;10:48:00;307,92;308;307,75;307,82;4667;0
ГАЗПРОМ ао;1;01.09.2021;10:49:00;307,88;308,05;307,88;307,99;2426;0
ГАЗПРОМ ао;1;01.09.2021;10:50:00;307,99;308,15;307,95;308,1;3099;0
ГАЗПРОМ ао;1;01.09.2021;10:51:00;308,1;308,27;308,1;308,23;3201;0
ГАЗПРОМ ао;1;01.09.2021;10:52:00;308,2;308,3;308,2;308,27;3184;0
ГАЗПРОМ ао;1;01.09.2021;10:53:00;308,24;308,3;308,24;308,29;1966;0
ГАЗПРОМ ао;1;01.09.2021;10:54:00;308,29;308,3;308,2;308,28;5200;0
ГАЗПРОМ ао;1;01.09.2021;10:55:00;308,2;308,29;308,2;308,2;1387;0
ГАЗПРОМ ао;1;01.09.2021;10:56:00;308,23;308,35;308,2;308,35;4826;0
ГАЗПРОМ ао;1;01.09.2021;10:57:00;308,35;308,35;308,18;308,3;3041;0
ГАЗПРОМ ао;1;01.09.2021;10:58:00;308,3;308,4;308,3;308,32;7994;0
ГАЗПРОМ ао;1;01.09.2021;10:59:00;308,35;308,5;308,27;308,27;40002;0
ГАЗПРОМ ао;1;01.09.2021;11:00:00;308,36;308,5;308,11;308,37;34720;0
ГАЗПРОМ ао;1;01.09.2021;11:01:00;308,37;308,45;308,28;308,42;4751;0
ГАЗПРОМ ао;1;01.09.2021;11:02:00;308,42;308,5;308,3;308,5;53043;0
ГАЗПРОМ ао;1;01.09.2021;11:03:00;308,49;308,5;308,31;308,39;6255;0
ГАЗПРОМ ао;1;01.09.2021;11:04:00;308,39;308,5;308,23;308,28;6586;0
ГАЗПРОМ ао;1;01.09.2021;11:05:00;308,29;308,46;308,22;308,3;6298;0
ГАЗПРОМ ао;1;01.09.2021;11:06:00;308,37;308,4;308,25;308,38;4005;0
ГАЗПРОМ ао;1;01.09.2021;11:07:00;308,38;308,39;308,25;308,36;3271;0
ГАЗПРОМ ао;1;01.09.2021;11:08:00;308,36;308,36;308,2;308,36;2436;0
ГАЗПРОМ ао;1;01.09.2021;11:09:00;308,36;308,39;308,2;308,37;2500;0
ГАЗПРОМ ао;1;01.09.2021;11:10:00;308,37;308,45;308,3;308,44;9844;0
ГАЗПРОМ ао;1;01.09.2021;11:11:00;308,42;308,68;308,33;308,63;41386;0
ГАЗПРОМ ао;1;01.09.2021;11:12:00;308,62;308,68;308,51;308,68;3014;0
ГАЗПРОМ ао;1;01.09.2021;11:13:00;308,65;308,7;308,57;308,65;9178;0
ГАЗПРОМ ао;1;01.09.2021;11:14:00;308,65;308,65;308,55;308,64;6484;0
ГАЗПРОМ ао;1;01.09.2021;11:15:00;308,58;308,65;308,39;308,5;7641;0
ГАЗПРОМ ао;1;01.09.2021;11:16:00;308,44;308,57;308,17;308,4;7093;0
ГАЗПРОМ ао;1;01.09.2021;11:17:00;308,4;308,43;308,23;308,35;3097;0
ГАЗПРОМ ао;1;01.09.2021;11:18:00;308,35;308,52;308,24;308,39;13998;0
ГАЗПРОМ ао;1;01.09.2021;11:19:00;308,34;308,4;308,19;308,4;5623;0
ГАЗПРОМ ао;1;01.09.2021;11:20:00;308,4;308,44;308,35;308,44;913;0
ГАЗПРОМ ао;1;01.09.2021;11:21:00;308,44;308,47;308,34;308,44;4842;0
ГАЗПРОМ ао;1;01.09.2021;11:22:00;308,4;308,51;308,33;308,46;3080;0
ГАЗПРОМ ао;1;01.09.2021;11:23:00;308,47;308,6;308,47;308,56;2369;0
ГАЗПРОМ ао;1;01.09.2021;11:24:00;308,57;308,59;308,51;308,56;1527;0
ГАЗПРОМ ао;1;01.09.2021;11:25:00;308,58;308,58;308,34;308,56;2709;0
ГАЗПРОМ ао;1;01.09.2021;11:26:00;308,56;308,58;308,36;308,47;4048;0
ГАЗПРОМ ао;1;01.09.2021;11:27:00;308,47;308,55;308,38;308,43;2411;0
ГАЗПРОМ ао;1;01.09.2021;11:28:00;308,43;308,51;308,32;308,33;1721;0
ГАЗПРОМ ао;1;01.09.2021;11:29:00;308,33;308,48;308,3;308,4;2021;0
ГАЗПРОМ ао;1;01.09.2021;11:30:00;308,46;308,49;308,35;308,48;8535;0
ГАЗПРОМ ао;1;01.09.2021;11:31:00;308,48;308,49;308,35;308,47;2903;0
ГАЗПРОМ ао;1;01.09.2021;11:32:00;308,47;308,52;308,37;308,45;3524;0
ГАЗПРОМ ао;1;01.09.2021;11:33:00;308,45;308,54;308,41;308,54;1587;0
ГАЗПРОМ ао;1;01.09.2021;11:34:00;308,52;308,7;308,41;308,68;13111;0
ГАЗПРОМ ао;1;01.09.2021;11:35:00;308,68;308,7;308,6;308,7;5705;0
ГАЗПРОМ ао;1;01.09.2021;11:36:00;308,67;308,7;308,67;308,69;7339;0
ГАЗПРОМ ао;1;01.09.2021;11:37:00;308,69;308,7;308,64;308,68;3879;0
ГАЗПРОМ ао;1;01.09.2021;11:38:00;308,64;308,8;308,6;308,75;8929;0
ГАЗПРОМ ао;1;01.09.2021;11:39:00;308,8;308,8;308,76;308,78;3992;0
ГАЗПРОМ ао;1;01.09.2021;11:40:00;308,78;308,78;308,6;308,65;11965;0
ГАЗПРОМ ао;1;01.09.2021;11:41:00;308,65;308,77;308,6;308,65;2825;0
ГАЗПРОМ ао;1;01.09.2021;11:42:00;308,65;308,72;308,6;308,7;3968;0
ГАЗПРОМ ао;1;01.09.2021;11:43:00;308,72;308,77;308,7;308,71;2884;0
ГАЗПРОМ ао;1;01.09.2021;11:44:00;308,71;308,99;308,7;308,88;29947;0
ГАЗПРОМ ао;1;01.09.2021;11:45:00;308,88;308,98;308,8;308,92;8929;0
ГАЗПРОМ ао;1;01.09.2021;11:46:00;308,9;309,31;308,84;309,31;52232;0
ГАЗПРОМ ао;1;01.09.2021;11:47:00;309,3;309,4;309,15;309,3;33263;0
ГАЗПРОМ ао;1;01.09.2021;11:48:00;309,3;309,5;309,17;309,29;48522;0
ГАЗПРОМ ао;1;01.09.2021;11:49:00;309,32;309,48;309,21;309,47;6440;0
ГАЗПРОМ ао;1;01.09.2021;11:50:00;309,47;309,47;309,18;309,3;24971;0
ГАЗПРОМ ао;1;01.09.2021;11:51:00;309,23;309,36;309,14;309,17;5332;0
ГАЗПРОМ ао;1;01.09.2021;11:52:00;309,16;309,47;309,16;309,42;10055;0
ГАЗПРОМ ао;1;01.09.2021;11:53:00;309,41;309,66;309,39;309,53;18871;0
ГАЗПРОМ ао;1;01.09.2021;11:54:00;309,55;309,73;309,53;309,65;8261;0
ГАЗПРОМ ао;1;01.09.2021;11:55:00;309,65;309,78;309,55;309,7;18201;0
ГАЗПРОМ ао;1;01.09.2021;11:56:00;309,66;309,66;309,51;309,57;17898;0
ГАЗПРОМ ао;1;01.09.2021;11:57:00;309,57;309,58;309,19;309,3;67682;0
ГАЗПРОМ ао;1;01.09.2021;11:58:00;309,3;309,55;309,27;309,49;6896;0
ГАЗПРОМ ао;1;01.09.2021;11:59:00;309,49;309,5;309,3;309,33;6378;0
ГАЗПРОМ ао;1;01.09.2021;12:00:00;309,33;309,33;309,11;309,12;7663;0
ГАЗПРОМ ао;1;01.09.2021;12:01:00;309,11;309,17;309,03;309,04;9171;0
ГАЗПРОМ ао;1;01.09.2021;12:02:00;309,07;309,12;308,94;309,08;16958;0
ГАЗПРОМ ао;1;01.09.2021;12:03:00;309,09;309,12;308,85;309,01;13731;0
ГАЗПРОМ ао;1;01.09.2021;12:04:00;308,97;309,06;308,86;308,99;6063;0
ГАЗПРОМ ао;1;01.09.2021;12:05:00;308,99;309,08;308,96;309;5645;0
ГАЗПРОМ ао;1;01.09.2021;12:06:00;309;309,1;309;309,02;2279;0
ГАЗПРОМ ао;1;01.09.2021;12:07:00;309,05;309,06;308,55;308,78;49660;0
ГАЗПРОМ ао;1;01.09.2021;12:08:00;308,77;308,84;308,76;308,84;4594;0
ГАЗПРОМ ао;1;01.09.2021;12:09:00;308,78;308,86;308,76;308,82;2381;0
ГАЗПРОМ ао;1;01.09.2021;12:10:00;308,82;308,82;308,58;308,65;25357;0
ГАЗПРОМ ао;1;01.09.2021;12:11:00;308,61;308,79;308,55;308,71;14109;0
ГАЗПРОМ ао;1;01.09.2021;12:12:00;308,7;308,82;308,7;308,82;2550;0
ГАЗПРОМ ао;1;01.09.2021;12:13:00;308,82;308,82;308,71;308,72;4301;0
ГАЗПРОМ ао;1;01.09.2021;12:14:00;308,72;308,95;308,71;308,87;5512;0
ГАЗПРОМ ао;1;01.09.2021;12:15:00;308,87;308,93;308,82;308,85;2748;0
ГАЗПРОМ ао;1;01.09.2021;12:16:00;308,86;308,87;308,8;308,8;3001;0
ГАЗПРОМ ао;1;01.09.2021;12:17:00;308,84;308,84;308,65;308,76;6549;0
ГАЗПРОМ ао;1;01.09.2021;12:18:00;308,76;308,88;308,72;308,85;6795;0
ГАЗПРОМ ао;1;01.09.2021;12:19:00;308,87;309;308,72;308,91;31855;0
ГАЗПРОМ ао;1;01.09.2021;12:20:00;308,9;308,98;308,83;308,98;4397;0
ГАЗПРОМ ао;1;01.09.2021;12:21:00;308,98;309;308,85;308,94;10775;0
ГАЗПРОМ ао;1;01.09.2021;12:22:00;308,94;309;308,62;308,74;63180;0
ГАЗПРОМ ао;1;01.09.2021;12:23:00;308,84;308,95;308,68;308,85;7917;0
ГАЗПРОМ ао;1;01.09.2021;12:24:00;308,9;309;308,73;308,95;27385;0
ГАЗПРОМ ао;1;01.09.2021;12:25:00;308,88;308,93;308,85;308,93;2126;0
ГАЗПРОМ ао;1;01.09.2021;12:26:00;308,92;309;308,88;308,88;10738;0
ГАЗПРОМ ао;1;01.09.2021;12:27:00;308,88;309;308,75;308,77;50426;0
ГАЗПРОМ ао;1;01.09.2021;12:28:00;308,77;308,94;308,72;308,88;7108;0
ГАЗПРОМ ао;1;01.09.2021;12:29:00;308,95;308,95;308,84;308,85;681;0
ГАЗПРОМ ао;1;01.09.2021;12:30:00;308,89;308,95;308,86;308,95;749;0
ГАЗПРОМ ао;1;01.09.2021;12:31:00;308,94;309;308,82;308,93;7532;0
ГАЗПРОМ ао;1;01.09.2021;12:32:00;308,93;309;308,82;308,96;26716;0
ГАЗПРОМ ао;1;01.09.2021;12:33:00;308,96;308,98;308,9;308,91;929;0
ГАЗПРОМ ао;1;01.09.2021;12:34:00;308,98;308,99;308,93;308,98;411;0
ГАЗПРОМ ао;1;01.09.2021;12:35:00;308,98;308,98;308,78;308,89;4140;0
ГАЗПРОМ ао;1;01.09.2021;12:36:00;308,9;308,99;308,8;308,9;4468;0
Сбербанк;1;01.09.2021;09:59:00;328,87;328,87;328,87;328,87;2753;0
Сбербанк;1;01.09.2021;10:00:00;328,87;329,43;328,63;329,11;33575;0
Сбербанк;1;01.09.2021;10:01:00;329;329,2;328,9;329,17;17950;0
Сбербанк;1;01.09.2021;10:02:00;329,06;329,29;329;329,22;11460;0
Сбербанк;1;01.09.2021;10:03:00;329,28;329,37;329,05;329,05;10294;0
Сбербанк;1;01.09.2021;10:04:00;329,05;329,25;328,92;329,04;8514;0
Сбербанк;1;01.09.2021;10:05:00;329,06;329,13;329;329,03;1984;0
Сбербанк;1;01.09.2021;10:06:00;329,04;329,16;328,83;328,86;3602;0
Сбербанк;1;01.09.2021;10:07:00;328,88;329;328,83;328,95;4363;0
Сбербанк;1;01.09.2021;10:08:00;328,95;329,49;328,95;329,48;32203;0
Сбербанк;1;01.09.2021;10:09:00;329,48;329,68;329,48;329,67;10691;0
Сбербанк;1;01.09.2021;10:10:00;329,68;329,87;329,66;329,82;12853;0
Сбербанк;1;01.09.2021;10:11:00;329,71;329,87;329,71;329,84;5943;0
Сбербанк;1;01.09.2021;10:12:00;329,74;329,85;329,58;329,64;3502;0
Сбербанк;1;01.09.2021;10:13:00;329,64;329,71;329,55;329,65;5690;0
Сбербанк;1;01.09.2021;10:14:00;329,6;329,84;329,57;329,65;21178;0
Сбербанк;1;01.09.2021;10:15:00;329,66;329,74;329,63;329,64;5590;0
Сбербанк;1;01.09.2021;10:16:00;329,69;329,73;329,23;329,29;8024;0
